,1-wmape
0,0.5209080939739167
1,0.5246352456878889
2,0.5267885729477684
3,0.5293683602435684
4,0.5278615702796003
5,0.5245510320215663
6,0.5282525247737218
7,0.5262398794121496
8,0.5265068603876557
9,0.53010638985143
10,0.5296657170193375
11,0.5275195891718691
12,0.5270835619208565
13,0.5251187473076517
14,0.5227434826525996
15,0.5229652599150703
16,0.5248160307717052
17,0.5257891902512296
18,0.5322963627230994
19,0.5221979260689507
20,0.5298863960688014
21,0.5291433887061269
22,0.5272942336005314
23,0.5269201433295361
24,0.5341692574395175
25,0.5266203016782536
26,0.5281994517388092
27,0.5213834864367441
28,0.53259262663204
29,0.5251487487762949
